iso3,country,indicator,indicator_label,framework_layer,year,value,region,income_group,data_status,years_since_estimate,indicator_short,progress
AUT,Austria,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,16.7,Europe and Central Asia,High income,Recent (≤5 years),1,Anaemia (WRA),On track
AUT,Austria,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,6.3054,Europe and Central Asia,High income,Recent (≤5 years),4,Low Birth Weight,On track
AU_AFRICA,African Union,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,35.8945,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_AFRICA,African Union,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,30.2716,,,Recent (≤5 years),0,Stunting,Off track
AU_AFRICA,African Union,NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,4.5078,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_AFRICA,African Union,NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,44.7919,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AU_AFRICA,African Union,NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.8886,,,Recent (≤5 years),4,Low Birth Weight,On track
AU_CENTRAL_AFRICA,Central Africa (African Union),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,41.0548,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_CENTRAL_AFRICA,Central Africa (African Union),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,39.6469,,,Recent (≤5 years),0,Stunting,Off track
AU_CENTRAL_AFRICA,Central Africa (African Union),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,5.1877,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_CENTRAL_AFRICA,Central Africa (African Union),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,46.301,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AU_CENTRAL_AFRICA,Central Africa (African Union),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,11.7379,,,Recent (≤5 years),4,Low Birth Weight,On track
AU_EASTERN_AFRICA,Eastern Africa (African Union),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,30.5624,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_EASTERN_AFRICA,Eastern Africa (African Union),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,30.4589,,,Recent (≤5 years),0,Stunting,Off track
AU_EASTERN_AFRICA,Eastern Africa (African Union),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,3.6384,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_EASTERN_AFRICA,Eastern Africa (African Union),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,58.6432,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AU_EASTERN_AFRICA,Eastern Africa (African Union),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.9471,,,Recent (≤5 years),4,Low Birth Weight,On track
AU_NORTHERN_AFRICA,Northern Africa (African Union),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,32.0076,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_NORTHERN_AFRICA,Northern Africa (African Union),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,12.2227,,,Recent (≤5 years),0,Stunting,Insufficient progress
AU_NORTHERN_AFRICA,Northern Africa (African Union),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,10.3456,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_NORTHERN_AFRICA,Northern Africa (African Union),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,36.3869,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AU_NORTHERN_AFRICA,Northern Africa (African Union),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,13.8096,,,Recent (≤5 years),4,Low Birth Weight,On track
AU_SOUTHERN_AFRICA,Southern Africa (African Union),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,35.0821,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_SOUTHERN_AFRICA,Southern Africa (African Union),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,34.0999,,,Recent (≤5 years),0,Stunting,Off track
AU_SOUTHERN_AFRICA,Southern Africa (African Union),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,6.5927,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_SOUTHERN_AFRICA,Southern Africa (African Union),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,49.8126,,,Recent (≤5 years),0,Excl. Breastfeeding,Insufficient progress
AU_SOUTHERN_AFRICA,Southern Africa (African Union),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,15.3889,,,Recent (≤5 years),4,Low Birth Weight,On track
AU_WESTERN_AFRICA,Western Africa (African Union),NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,41.7198,,,Recent (≤5 years),1,Anaemia (WRA),On track
AU_WESTERN_AFRICA,Western Africa (African Union),NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,29.8206,,,Recent (≤5 years),0,Stunting,Off track
AU_WESTERN_AFRICA,Western Africa (African Union),NT_ANT_WHZ_PO2_MOD,"Overweight (>+2SD WHZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,2.2244,,,Recent (≤5 years),0,Overweight,Monitor (no numeric target)
AU_WESTERN_AFRICA,Western Africa (African Union),NT_BF_EXBF,"Exclusive breastfeeding <6 months, %",Layer 1: Nutrition Outcomes,2024,34.5515,,,Recent (≤5 years),0,Excl. Breastfeeding,Off track
AU_WESTERN_AFRICA,Western Africa (African Union),NT_BW_LBW,"Low birth weight (<2500g), %",Layer 1: Nutrition Outcomes,2020,14.2827,,,Recent (≤5 years),4,Low Birth Weight,On track
AZE,Azerbaijan,NT_ANE_WOM_15_49_MOD,"Anaemia in women 15-49 years, %",Layer 1: Nutrition Outcomes,2023,35.6,Europe and Central Asia,Upper middle income,Recent (≤5 years),1,Anaemia (WRA),On track
AZE,Azerbaijan,NT_ANT_HAZ_NE2_MOD,"Stunting (<-2SD HAZ), modelled estimate, %",Layer 1: Nutrition Outcomes,2024,6.8197,Europe and Central Asia,Upper middle income,Recent (≤5 years),0,Stunting,On track
