iso3,country,year,indicator,indicator_short,layer,value,years_since,region,income_group,nis_readiness_score,layer1_score,layer2_score
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,79.8,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,31.3697,1,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_ANT_HAZ_NE2_MOD,Stunting,Layer 1,31.3784,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_ANT_WHZ_PO2_MOD,Overweight,Layer 1,4.7728,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_BF_EIBF,Early BF Initiation,Layer 2,61.2868,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_BF_EXBF,Excl. BF,Layer 1,53.8249,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2020,NT_BW_LBW,Low Birth Weight,Layer 1,13.8531,4,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_CF_MAD,Min Acceptable Diet,Layer 2,14.0672,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_CF_MDD,Min Dietary Diversity,Layer 2,21.8533,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA),2024,NT_CF_MMF,Min Meal Frequency,Layer 2,49.585,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,IM_DTP3,DTP3 Coverage,Layer 2,79.0,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,MNCH_ANC4,ANC 4+ Visits,Layer 2,57.2,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2024,MNCH_SAB,Skilled Birth Attendance,Layer 2,85.9,0,,,76.66666666666667,83.33333333333334,70.0
AUREC_EAC,East African Community (EAC),2023,NT_ANE_WOM_15_49_MOD,Anaemia WRA,Layer 1,34.8655,1,,,76.66666666666667,83.33333333333334,70.0
