iso3,country,region,income_group,Anaemia (WRA),Excl. Breastfeeding,Low Birth Weight,Overweight,Stunting
PRY,Paraguay,Latin America and Caribbean,Upper middle income,23.2,29.5936,9.96,15.3954,3.2005
PSE,State of Palestine,Middle East and North Africa,Lower middle income,24.8,38.8956,10.3729,8.8213,7.9948
QAT,Qatar,Middle East and North Africa,High income,23.6,45.3747,9.9559,8.6309,5.4412
ROU,Romania,Europe and Central Asia,Upper middle income,24.3,15.8,8.8178,4.8187,6.9796
RUS,Russian Federation,Europe and Central Asia,Upper middle income,24.1,,7.2682,9.5126,
RWA,Rwanda,Sub-Saharan Africa,Low income,16.1,80.8959,9.3985,5.0721,29.7876
SAU,Saudi Arabia,Middle East and North Africa,High income,17.6,,,8.4482,11.1447
SDN,Sudan,Middle East and North Africa,Low income,34.0,54.5954,,2.578,35.3849
SEN,Senegal,Sub-Saharan Africa,Lower middle income,43.1,34.4042,17.2494,2.1285,17.1728
SGP,Singapore,East Asia and Pacific,High income,16.6,,10.951,3.8171,2.7867
SLB,Solomon Islands,East Asia and Pacific,Lower middle income,32.6,76.2,13.2339,6.2189,29.8116
SLE,Sierra Leone,Sub-Saharan Africa,Low income,44.6,50.8875,10.3437,5.4497,25.1992
SLV,El Salvador,Latin America and Caribbean,Lower middle income,14.4,45.3,10.223,8.4592,9.4267
SOM,Somalia,Sub-Saharan Africa,Low income,46.2,33.7,,2.4645,23.857
SRB,Serbia,Europe and Central Asia,Upper middle income,24.9,23.6319,6.2023,12.2284,4.5553
SSD,South Sudan,Sub-Saharan Africa,Low income,35.0,44.5377,,4.2519,29.9664
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,39.7,63.0553,11.1148,6.4154,9.9549
SUR,Suriname,Latin America and Caribbean,Upper middle income,22.2,8.9162,16.4645,3.7287,7.9524
SVK,Slovakia,Europe and Central Asia,High income,25.3,,7.823,,
SVN,Slovenia,Europe and Central Asia,High income,25.7,,6.2901,,
SWE,Sweden,Europe and Central Asia,High income,16.8,,4.1218,,
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,28.3,54.0052,10.2016,10.2169,18.8842
SYC,Seychelles,Sub-Saharan Africa,High income,25.8,,12.4838,10.8732,6.1983
SYR,Syrian Arab Republic,Middle East and North Africa,Low income,31.0,28.5,,11.0196,23.5031
TCD,Chad,Sub-Saharan Africa,Low income,46.5,7.3531,,2.4527,31.5206
TGO,Togo,Sub-Saharan Africa,Low income,41.5,64.3296,14.2814,3.5926,22.9679
THA,Thailand,East Asia and Pacific,Upper middle income,20.7,28.575,10.3029,9.8904,12.3406
TJK,Tajikistan,Europe and Central Asia,Lower middle income,37.3,40.7846,8.7161,4.5814,13.105
TKM,Turkmenistan,Europe and Central Asia,Upper middle income,34.8,56.4768,4.2878,4.7607,6.4572
TLS,Timor-Leste,East Asia and Pacific,Lower middle income,29.7,64.9747,18.212,1.1906,45.4021
